timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,SMA 20,SMA 10,EMA 20,EMA 10,Real Lower Band 20,Real Upper Band 20,Real Middle Band 20,MACD 20,MACD_Signal 20,MACD_Hist 20,RSI 20
2020-01-23,317.92,319.56,315.65,319.23,78.8714100187,26117993,0.0,1.0,75.3151,77.787,75.4271,77.4389,69.8634,80.7669,75.3151,2.7181,2.6767,0.0414,75.9999
2020-01-24,320.25,323.33,317.52,318.31,78.6441077689,36634380,0.0,1.0,75.7356,78.0015,75.7335,77.658,70.6301,80.8412,75.7356,2.6452,2.6704,-0.0252,74.6803
2020-01-27,310.06,311.77,304.88,308.95,76.3315544444,40485005,0.0,1.0,75.9708,77.9674,75.7904,77.4168,71.2231,80.7186,75.9708,2.3734,2.611,-0.2376,62.9706
2020-01-28,312.6,318.4,312.19,317.69,78.4909258179,40558486,0.0,1.0,76.3154,77.9854,76.0476,77.6121,71.8977,80.7331,76.3154,2.3057,2.5499,-0.2442,67.9154
2020-01-29,324.45,327.85,321.38,324.34,80.133925776,54149928,0.0,1.0,76.7208,78.2735,76.4368,78.0706,72.4672,80.9745,76.7208,2.3575,2.5115,-0.154,71.0154
2020-01-30,320.54,324.09,318.75,323.87,80.0178039745,31685808,0.0,1.0,77.0941,78.5831,76.7778,78.4247,73.0651,81.1232,77.0941,2.3619,2.4815,-0.1196,70.5086
2020-01-31,320.93,322.68,308.29,309.51,76.4699123356,49897096,0.0,1.0,77.2073,78.4415,76.7485,78.0693,73.3872,81.0273,77.2073,2.0554,2.3963,-0.3409,57.3461
2020-02-03,304.3,313.49,302.22,308.66,76.2599048222,43496401,0.0,1.0,77.346,78.1927,76.702,77.7403,73.8928,80.7992,77.346,1.7751,2.2721,-0.497,56.6867
2020-02-04,315.31,319.64,313.63,318.85,78.7775243069,34154134,0.0,1.0,77.5813,78.249,76.8996,77.9289,74.4242,80.7385,77.5813,1.7361,2.1649,-0.4288,62.1749
2020-02-05,323.52,324.76,318.95,321.45,79.4199002303,29706718,0.0,1.0,77.8662,78.3417,77.1397,78.2,75.1568,80.5756,77.8662,1.737,2.0793,-0.3423,63.4198
2020-02-06,322.57,325.22,320.26,325.21,80.3488746427,26356385,0.0,1.0,78.1382,78.4894,77.4453,78.5907,75.5832,80.6932,78.1382,1.792,2.0219,-0.2298,65.165
2020-02-07,322.37,323.4,318.0,320.03,79.2593062495,29421012,0.77,1.0,78.2762,78.551,77.6181,78.7122,75.793,80.7594,78.2762,1.7278,1.963,-0.2352,61.5401
2020-02-10,314.18,321.55,313.85,321.55,79.6357526623,27337215,0.0,1.0,78.4244,78.8814,77.8102,78.8802,75.9885,80.8603,78.4244,1.6878,1.908,-0.2202,62.3028
2020-02-11,323.6,323.9,318.71,319.61,79.1552881617,23580780,0.0,1.0,78.4666,78.9478,77.9383,78.9302,76.0108,80.9224,78.4666,1.5989,1.8462,-0.2473,60.6861
2020-02-12,321.47,327.22,321.47,327.2,81.0350436047,28432573,0.0,1.0,78.6557,79.0379,78.2333,79.3129,76.0265,81.2849,78.6557,1.661,1.8091,-0.1481,64.4817
2020-02-13,324.19,326.22,323.35,324.87,80.4579908798,23686892,0.0,1.0,78.8325,79.0819,78.4451,79.5211,76.2179,81.4471,78.8325,1.6447,1.7763,-0.1316,62.5309
2020-02-14,324.74,325.98,322.85,324.95,80.4778038489,20028447,0.0,1.0,78.9621,79.4827,78.6387,79.695,76.2917,81.6325,78.9621,1.6147,1.744,-0.1292,62.5718
2020-02-18,315.36,319.75,314.61,319.0,79.0042142723,38190545,0.0,1.0,78.9749,79.7572,78.6735,79.5694,76.3063,81.6436,78.9749,1.4553,1.6862,-0.2309,57.6426
2020-02-19,320.0,324.57,320.0,323.62,80.1484132377,23495991,0.0,1.0,79.0717,79.8943,78.814,79.6747,76.3802,81.7631,79.0717,1.4051,1.63,-0.2249,60.2049
2020-02-20,322.63,324.65,318.21,320.3,79.3261750202,25141489,0.0,1.0,79.1133,79.8849,78.8628,79.6113,76.4332,81.7934,79.1133,1.2842,1.5608,-0.2767,57.5706
2020-02-21,318.62,320.45,310.5,313.05,77.5306246958,32426415,0.0,1.0,79.0463,79.6031,78.7359,79.233,76.2796,81.8129,79.0463,1.0316,1.455,-0.4234,52.3093
2020-02-24,297.26,304.18,289.23,298.18,73.847889065,55548828,0.0,1.0,78.8064,79.0619,78.2704,78.2539,75.2292,82.3836,78.8064,0.5281,1.2696,-0.7415,43.6891
2020-02-25,300.95,302.53,286.13,288.08,71.3465017165,57668364,0.0,1.0,78.5572,78.233,77.611,76.998,73.8187,83.2957,78.5572,-0.0719,1.0013,-1.0732,39.0842
2020-02-26,286.53,297.88,286.5,292.65,72.4783175762,49678431,0.0,1.0,78.2566,77.5653,77.1221,76.1763,72.8269,83.6862,78.2566,-0.4509,0.7109,-1.1618,41.9961
